LAT;LONG;ALT
-36,831512;149,712564;290
-36,831504;149,712947;290
-36,831495;149,713330;302
-36,831486;149,713713;302
-36,831477;149,714095;295
-36,831469;149,714478;295
-36,831460;149,714861;269
-36,831451;149,715244;269
-36,831442;149,715626;240
-36,831434;149,716009;240
-36,831425;149,716392;211
-36,831416;149,716774;211
-36,831407;149,717157;191
-36,831399;149,717540;191
-36,831390;149,717923;191
-36,831381;149,718305;182
-36,831372;149,718688;182
-36,832316;149,690759;259
-36,832307;149,691142;259
-36,832299;149,691525;250
-36,832290;149,691908;250
-36,832281;149,692290;237
-36,832273;149,692673;237
-36,832264;149,693056;222
-36,832255;149,693439;222
-36,832247;149,693821;222
-36,832238;149,694204;212
-36,832229;149,694587;212
-36,832221;149,694969;209
-36,832212;149,695352;209
-36,832203;149,695735;211
-36,832195;149,696118;211
-36,832186;149,696500;220
-36,832177;149,696883;220
-36,832169;149,697266;234
-36,832160;149,697649;234
-36,832151;149,698031;238
-36,832142;149,698414;238
-36,832134;149,698797;257
-36,832125;149,699180;257
-36,832116;149,699562;257
-36,832108;149,699945;260
-36,832099;149,700328;260
-36,832090;149,700711;264
-36,832082;149,701093;264
-36,832073;149,701476;251
-36,832064;149,701859;251
-36,832056;149,702241;258
-36,832047;149,702624;258
-36,832038;149,703007;258
-36,832029;149,703390;259
-36,832021;149,703772;259
-36,832012;149,704155;248
-36,832003;149,704538;248
-36,831995;149,704921;240
