LONG;LAT
149.7048561083;-36.8301490675
149.7052388342;-36.8301403539
149.70562156;-36.8301316389
149.7060042855;-36.8301229228
149.706387011;-36.8301142054
149.7067697362;-36.8301054868
149.7071524613;-36.830096767
149.7075351862;-36.8300880459
149.707917911;-36.8300793236
149.7083006356;-36.8300706001
149.70868336;-36.8300618753
149.7090660843;-36.8300531494
149.7094488084;-36.8300444221
149.7098315323;-36.8300356937
149.7102142561;-36.830026964
149.7105969797;-36.8300182331
149.7109797031;-36.830009501
149.7113624264;-36.8300007676
149.7117451495;-36.829992033
149.7121278725;-36.8299832972
149.7125105952;-36.8299745601
149.7128933179;-36.8299658218
149.7132760403;-36.8299570823
149.7136587626;-36.8299483416
149.7140414847;-36.8299395996
149.7144242067;-36.8299308564
149.7148069285;-36.8299221119
149.7151896501;-36.8299133663
149.7155723715;-36.8299046194
149.7159550928;-36.8298958712
149.716337814;-36.8298871219
149.7167205349;-36.8298783713
149.7171032557;-36.8298696195
149.7174859764;-36.8298608664
149.7178686968;-36.8298521122
149.7182514171;-36.8298433566
149.7186341373;-36.8298345999
149.6907059165;-36.8307782753
149.69108865;-36.8307696071
149.6914713834;-36.8307609376
149.6918541166;-36.8307522668
149.6922368496;-36.8307435949
149.6926195824;-36.8307349217
149.6930023151;-36.8307262473
149.6933850477;-36.8307175716
149.69376778;-36.8307088948
149.6941505122;-36.8307002167
149.6945332443;-36.8306915373
149.6949159761;-36.8306828568
149.6952987078;-36.830674175
149.6956814394;-36.8306654919
149.6960641708;-36.8306568077
149.696446902;-36.8306481222
149.696829633;-36.8306394355
149.6972123639;-36.8306307475
149.6975950947;-36.8306220584
149.6979778252;-36.830613368
149.6983605556;-36.8306046763
149.6987432859;-36.8305959835
149.6991260159;-36.8305872894
149.6995087458;-36.830578594
149.6998914756;-36.8305698975
149.7002742052;-36.8305611997
149.7006569346;-36.8305525007
149.7010396638;-36.8305438004
149.7014223929;-36.8305350989
149.7018051218;-36.8305263962
149.7021878506;-36.8305176923
149.7025705792;-36.8305089871
149.7029533076;-36.8305002807
149.7033360359;-36.8304915731
149.703718764;-36.8304828642
149.7041014919;-36.8304741541
149.7044842197;-36.8304654428
149.7048669473;-36.8304567303
149.7052496747;-36.8304480165
149.705632402;-36.8304393015
149.7060151291;-36.8304305852
149.706397856;-36.8304218678
149.7067805828;-36.8304131491
149.7071633094;-36.8304044291
149.7075460359;-36.830395708
149.7079287622;-36.8303869856
149.7083114883;-36.8303782619
149.7086942143;-36.8303695371
149.70907694;-36.830360811
149.7094596657;-36.8303520837
149.7098423911;-36.8303433552
149.7102251164;-36.8303346254
149.7106078416;-36.8303258944
149.7109905665;-36.8303171621
149.7113732914;-36.8303084287
149.711756016;-36.830299694
149.7121387405;-36.8302909581
149.7125214648;-36.8302822209
149.7129041889;-36.8302734825
149.7132869129;-36.8302647429
149.7136696367;-36.8302560021
149.7140523604;-36.83024726
149.7144350839;-36.8302385167
149.7148178072;-36.8302297721
149.7152005303;-36.8302210264
149.7155832533;-36.8302122794
149.7159659761;-36.8302035312
149.7163486988;-36.8301947817
149.7167314213;-36.830186031
149.7171141436;-36.8301772791
149.7174968658;-36.8301685259
149.7178795878;-36.8301597716
149.7182623096;-36.830151016
149.7186450313;-36.8301422591
149.6907166991;-36.8310859416
149.6910994341;-36.8310772732
149.691482169;-36.8310686036
149.6918649037;-36.8310599328
149.6922476382;-36.8310512608
149.6926303726;-36.8310425875
149.6930131068;-36.831033913
149.6933958409;-36.8310252373
149.6937785748;-36.8310165603
149.6941613085;-36.8310078821
149.6945440421;-36.8309992026
149.6949267755;-36.830990522
149.6953095087;-36.8309818401
149.6956922418;-36.830973157
149.6960749747;-36.8309644726
149.6964577075;-36.830955787
149.6968404401;-36.8309471002
149.6972231725;-36.8309384122
149.6976059047;-36.8309297229
149.6979886368;-36.8309210324
149.6983713687;-36.8309123407
149.6987541005;-36.8309036477
149.6991368321;-36.8308949535
149.6995195635;-36.8308862581
149.6999022948;-36.8308775614
149.7002850259;-36.8308688636
149.7006677569;-36.8308601644
149.7010504876;-36.8308514641
149.7014332183;-36.8308427625
149.7018159487;-36.8308340597
149.702198679;-36.8308253557
149.7025814091;-36.8308166504
149.7029641391;-36.8308079439
149.7033468689;-36.8307992362
149.7037295985;-36.8307905272
149.704112328;-36.830781817
149.7044950572;-36.8307731056
149.7048777864;-36.830764393
149.7052605154;-36.8307556791
149.7056432442;-36.830746964
149.7060259728;-36.8307382476
149.7064087013;-36.8307295301
149.7067914296;-36.8307208113
149.7071741577;-36.8307120913
149.7075568857;-36.83070337
149.7079396135;-36.8306946475
149.7083223412;-36.8306859238
149.7087050687;-36.8306771988
149.709087796;-36.8306684727
149.7094705232;-36.8306597452
149.7098532501;-36.8306510166
149.710235977;-36.8306422867
149.7106187036;-36.8306335556
149.7110014301;-36.8306248233
149.7113841565;-36.8306160897
149.7117668826;-36.8306073549
149.7121496086;-36.8305986189
149.7125323345;-36.8305898817
149.7129150602;-36.8305811432
149.7132977857;-36.8305724035
149.713680511;-36.8305636625
149.7140632362;-36.8305549204
149.7144459612;-36.830546177
149.714828686;-36.8305374323
149.7152114107;-36.8305286865
149.7155941353;-36.8305199394
